Place,Description,Location,Ages,Ticket Price,Event Start Date,Event End Date,Opening Hours
Turaif Cultural Days,Explores the history and heritage of one of Saudi Arabia’s oldest towns,Turaif,Above 15,40 SAR per person,12/10/2023,12/20/2023,5:00 AM to 6:00 PM
Arar Cultural Festival,Features poetry,Arar,Above 12,10 SAR per person,2/15/2024,2/25/2024,6:00 AM to 7:00 PM
Dawadmi Historical Festival,A week-long event that focuses on the historical significance of Dawadmi.,Dawadmi,Above 12,Free Pass,11/1/2023,11/7/2023,5:00 AM to 7:00 PM
Khafji Sea Festival,Celebrating the maritime culture of Khafji on the northeastern coast.,Khafji,Above 15,40 SAR per person,4/20/2024,4/25/2024,6:00 AM to 8:00 PM
Afif Cultural Heritage Festival,An annual event focusing on the traditional crafts and Bedouin culture of Afif.,Afif,Above 12,30 SAR per person,9/1/2023,9/10/2023,5:30 AM to 7:30 PM
Al-Jouf Olive Festival,Celebrating the olive harvest in Al-Jouf,Sakaka,Above 15,30 SAR per person,2/1/2024,2/15/2024,7:00 AM to 9:00 PM
Tathleeth Desert Art Festival,Highlights desert-inspired artwork and traditional crafts from the region.,Tathleeth,Above 12,120 SAR per person,3/5/2024,3/15/2024,6:30 AM to 8:30 PM
Dumat Al-Jandal Heritage Days,A cultural event showcasing the ancient ruins and traditions of this northern oasis town.,Dumat Al-Jandal,Above 12,120 SAR per person,10/10/2024,10/20/2024,5:00 AM to 6:00 PM
Al-Nairyah Camel Festival,Focuses on camel racing and Bedouin traditions from the Eastern Province.,Al-Nairyah,All,120 SAR per person,11/1/2023,11/15/2023,6:00 AM to 7:00 PM
Al-Khobar Sea Cultural Festival,Celebrates the sea culture and history of Al-Khobar,Al-Khobar,Above 15,150 SAR per person,3/15/2024,3/20/2024,5:00 AM to 7:00 PM
Tanomah Arts Festival,A summer event celebrating the arts,Tanomah,Adults,Free Pass,7/25/2024,8/10/2024,6:00 AM to 8:00 PM
Tarut Island Festival,Features traditional performances and showcases the island’s rich history.,Tarut Island,Above 15,40 SAR per person,11/10/2023,11/20/2023,5:30 AM to 7:30 PM
Hafar Al-Batin Heritage Fair,A regional heritage fair celebrating local crafts and culture.,Hafar Al-Batin,Above 12,70 SAR per person,1/5/2024,1/15/2024,7:00 AM to 9:00 PM
Najran Palm Festival,Celebrates the importance of palm trees and dates in the southern region’s culture.,Najran,All,30 SAR per person,3/10/2024,3/20/2024,6:30 AM to 8:30 PM
Al-Mubarraz Cultural Forum,A forum bringing together local artists and cultural performers from the Al-Ahsa region.,Al-Mubarraz,Above 15,Free Pass,12/1/2023,12/10/2023,5:00 AM to 6:00 PM
Khulays Folk Music Festival,Traditional folk music festival celebrating the musical heritage of the Khulays region.,Khulays,Above 12,70 SAR per person,4/10/2024,4/20/2024,6:00 AM to 7:00 PM
Badr Al-Janoub Heritage Days,Heritage event focused on the history and traditions of the Badr Al-Janoub region.,Badr Al-Janoub,Above 15,90 SAR per person,9/15/2023,9/25/2023,5:00 AM to 7:00 PM
Al-Kharj Poetry Festival,Poetry performances celebrating the literary traditions of the Najd region.,Al-Kharj,Adults,70 SAR per person,11/20/2023,11/30/2023,6:00 AM to 8:00 PM
Mahayel Asir Festival,A festival celebrating local crafts,Mahayel Asir,All,10 SAR per person,12/15/2023,12/25/2023,5:30 AM to 7:30 PM
Al-Hasa Oasis Festival,A celebration of the cultural and agricultural significance of Al-Hasa Oasis.,Al-Ahsa,All,50 SAR per person,2/1/2024,2/10/2024,7:00 AM to 9:00 PM
Turubah Camel Fair,Camel races and exhibitions showcasing Bedouin culture.,Turubah,Above 15,50 SAR per person,3/15/2024,3/25/2024,6:30 AM to 8:30 PM
Train Whistle Play,A children's play highlighting a magical train adventure in Prince Sultan Cultural Cente.,Ar-Rass,Above 12,120 SAR per person,11/4/2022,11/6/2022,5:00 AM to 6:00 PM
Sala 4 Play,A comedic play about life's unexpected events.Al-Rayyan Theater, Riyadh,All,30 SAR per person,9/16/2022,9/16/2022,6:00 AM to 7:00 PM
Princess of Ashes Play,A comedy revolving around the misadventures of a princess.Blue Hall, Riyadh,Above 12,60 SAR per person,5/6/2022,5/6/2022,5:00 AM to 7:00 PM
Tales Cave Play,A children's play filled with storytelling and wonder.Al-Rayyan Theater, Riyadh,All,70 SAR per person,2/10/2022,2/10/2022,6:00 AM to 8:00 PM
Rooftop Play,A children's play focusing on rooftop adventures.Al-Rayyan Theater, Riyadh,Above 12,70 SAR per person,1/28/2022,1/28/2022,5:30 AM to 7:30 PM
Guardians of the Fields Play,A children's play about protecting the environment.Eastern Region Theater,Dammam,Above 15,Free Pass,1/5/2022,1/5/2022,7:00 AM to 9:00 PM
Lubna Play,A children's play focusing on the character Lubna and her adventures.Cultural Center Theater, Medina,Above 15,Free Pass,5/5/2022,5/5/2022,6:30 AM to 8:30 PM
Repertoire Play,A comedic play filled with various performances.Kingdom Schools Theater, Riyadh,Above 12,30 SAR per person,3/27/2022,3/27/2022,5:00 AM to 6:00 PM
Qais and Layla Play,A comedic rendition of the classical story of Qais and Layla.Blue Hall, Riyadh,Above 15,30 SAR per person,8/26/2022,8/26/2022,6:00 AM to 7:00 PM
Polish Performance,A performance showcasing Polish arts.Cultural Palace, Riyadh,Above 15,30 SAR per person,9/1/2022,9/1/2022,5:00 AM to 7:00 PM
Flamenco Nights by Flamenco Projects,"A performance by the Spanish flamenco group ""Flamenco Projects.""Cultural Palace",Riyadh,All,Free Pass,2/16/2022,2/16/2022,6:00 AM to 8:00 PM
Qimam Festival of Mountain Performing Arts,A festival celebrating mountain performing arts.Various Villages, Asir,Adults,40 SAR per person,1/9/2022,1/9/2022,5:30 AM to 7:30 PM
Comedy Café Performances,A stand-up comedy event held at Safa Club.Safa Club Theater, Al-Qatif,Adults,50 SAR per person,11/10/2022,11/10/2022,7:00 AM to 9:00 PM
Comedy Pod Performances,A stand-up comedy event featuring various performers.Mohamed Al-Ali Theater,Riyadh,All,20 SAR per person,1/5/2023,1/5/2023,6:30 AM to 8:30 PM
Our Odes Play,A musical play that celebrates Arab heritage and poetry.Princess Noura University Theater,Riyadh,All,70 SAR per person,2/22/2023,2/22/2023,5:00 AM to 6:00 PM
Cat and Bird Play,A children's play about the friendship between a cat and a bird.King Faisal Sports City Theater, Jazan,Above 15,30 SAR per person,3/8/2023,3/8/2023,6:00 AM to 7:00 PM
The Bride Play,A street theater performance focusing on the theme of weddings.Biban Forum Venue,Riyadh,Above 12,50 SAR per person,3/9/2023,3/9/2023,5:00 AM to 7:00 PM
The Bride Play,A repeat of the above street theater performance.Olive Festival Venue, Al-Jouf,Above 15,90 SAR per person,3/16/2023,3/16/2023,6:00 AM to 8:00 PM
The Stranger and the Captain Play,A tragedy that revolves around an unexpected encounter between a stranger and a captain.Princess Noura University Theater,Riyadh,Adults,150 SAR per person,3/27/2023,3/27/2023,5:30 AM to 7:30 PM
Extras Play,A monodrama exploring the experiences of extras in theatrical performances.Culture and Arts Association Theater,Riyadh,Above 12,Free Pass,6/2/2023,6/2/2023,7:00 AM to 9:00 PM
The Lost Bucket Play,A comedic play about a misplaced bucket that causes chaos.Arabian Society for Culture and Arts Theater,Dammam,Above 15,120 SAR per person,6/7/2023,6/7/2023,6:30 AM to 8:30 PM
Tangled Play,A tragedy that delves into the complications of tangled relationships.Fahd Al-Harithi Theater, Taif,All,50 SAR per person,7/23/2023,7/23/2023,5:00 AM to 6:00 PM
The Ninth Floor Play,A children's play about magical events on the ninth floor of a mysterious building.Applied University Schools Theater,Riyadh,Above 12,50 SAR per person,9/8/2023,9/8/2023,6:00 AM to 7:00 PM
The Ninth Floor Play,A repeat of the magical children's play.Saleh Bin Saleh Cultural Center,Qassim,Above 12,20 SAR per person,10/5/2023,10/5/2023,5:00 AM to 7:00 PM
Argentine Performances,Argentine theater and performing arts displays.Princess Noura University Theater,Riyadh,Adults,150 SAR per person,10/3/2023,10/3/2023,6:00 AM to 8:00 PM
Ink and Gold Play,A street theater play that showcases the relationship between words and wealth.Prince Majed Park Theater, Jeddah,Above 15,Free Pass,10/25/2023,10/25/2023,5:30 AM to 7:30 PM
Nahham Festival,A festival featuring performances of traditional sea chanties and other maritime arts.Eastern Region Waterfront, Dammam,Adults,40 SAR per person,10/27/2023,10/27/2023,7:00 AM to 9:00 PM
Danna Yanham Play,A musical play that celebrates the maritime heritage of the Eastern Province.Eastern Region Waterfront, Dammam,All,40 SAR per person,10/27/2023,10/27/2023,6:30 AM to 8:30 PM
The Last Shadow Play,A dramatic performance revolving around the theme of shadows and identity.King Saud University Theater,Riyadh,All,120 SAR per person,10/11/2023,10/11/2023,5:00 AM to 6:00 PM
The Stone Play,A dramatic performance that symbolizes resilience and strength.King Saud University Theater,Riyadh,All,30 SAR per person,10/19/2023,10/19/2023,6:00 AM to 7:00 PM
Hidden Inscriptions Play,A play exploring hidden meanings within ancient inscriptions.King Saud University Theater,Riyadh,Adults,10 SAR per person,10/29/2023,10/29/2023,5:00 AM to 7:00 PM
Rhythm of Time and Reality Play,A play exploring the concept of time and how it affects reality.Al-Tarbiyah Numoothajiyah Schools Theater,Riyadh,Above 12,20 SAR per person,10/21/2023,10/21/2023,6:00 AM to 8:00 PM
The Archive Play,A theatrical exploration of historical documents and their impact.Al-Tarbiyah Numoothajiyah Schools Theater,Riyadh,Above 15,120 SAR per person,10/30/2023,10/30/2023,5:30 AM to 7:30 PM
Light Play,A performance that uses light as a metaphor for knowledge and truth.Fahd Al-Harithi Theater,Taif,All,70 SAR per person,10/12/2023,10/12/2023,7:00 AM to 9:00 PM
Set El Rooh Play,A dramatic play that focuses on spiritual and emotional connections.Batterjee College Theater,Jeddah,Above 12,20 SAR per person,10/13/2023,10/13/2023,6:30 AM to 8:30 PM
Silence’s Trumpet Play,A play examining the contrasts between silence and sound.Batterjee College Theater,Jeddah,Above 12,150 SAR per person,10/22/2023,10/22/2023,5:00 AM to 6:00 PM
Closed Circle Play,A dramatic play about cyclical events in life.Jeddah International College Theater,Jeddah,All,30 SAR per person,10/14/2023,10/14/2023,6:00 AM to 7:00 PM
Relationships Play,A play exploring various types of relationships and their complexities.Jeddah International College Theater,Jeddah,Adults,50 SAR per person,10/23/2023,10/23/2023,5:00 AM to 7:00 PM
Hunger Play,A dramatic play exploring the effects of poverty and hunger on society.Jeddah International College Theater,Jeddah,Above 12,50 SAR per person,10/23/2023,10/23/2023,6:00 AM to 8:00 PM
Sea Tales Play,A children's play centered on marine adventures and the wonders of the ocean.Al-Andalus Theater,Jeddah,Above 12,50 SAR per person,10/1/2023,10/1/2023,5:30 AM to 7:30 PM
Family Bonds Play,A drama exploring the importance of family relationships.Al-Andalus Theater, Jeddah,All,20 SAR per person,10/14/2023,10/14/2023,7:00 AM to 9:00 PM
Lost World Play,A children's play focusing on the adventures in a mystical lost world.Blue Hall,Riyadh,All,40 SAR per person,9/29/2023,9/29/2023,6:30 AM to 8:30 PM
Thirst for Knowledge Play,A play about the pursuit of knowledge and wisdom.Al-Rayyan Theater,Riyadh,All,150 SAR per person,10/3/2023,10/3/2023,5:00 AM to 6:00 PM
The Fisherman Play,A children's play about the life of a fisherman and his struggles.Safa Club Theater,Al-Qatif,Adults,30 SAR per person,9/16/2023,9/16/2023,6:00 AM to 7:00 PM
Soul's Journey Play,A spiritual drama exploring the metaphysical journey of the soul.Fahd Al-Harithi Theater, Taif,Above 12,30 SAR per person,10/8/2023,10/8/2023,5:00 AM to 7:00 PM
Echoes of Time Play,A dramatic play dealing with historical and futuristic themes.Princess Noura University Theater, Riyadh,Above 15,30 SAR per person,9/22/2023,9/22/2023,6:00 AM to 8:00 PM
Desert Dance Play,A performance that showcases traditional dance from Saudi Arabia’s desert regions.Eastern Region Theater,Dammam,Above 12,120 SAR per person,10/16/2023,10/16/2023,5:30 AM to 7:30 PM
Traditional Songs Festival,A festival celebrating traditional Saudi songs and performances.Cultural Palace, Riyadh,All,30 SAR per person,10/4/2023,10/4/2023,7:00 AM to 9:00 PM
Theater of Silence,A dramatic play centered around the theme of silence and its impact on communication.Al-Andalus Theater,Jeddah,Above 12,70 SAR per person,10/16/2023,10/16/2023,6:30 AM to 8:30 PM
The Whispering Sands,A performance portraying the stories of the desert through dance and theatrical elements.Blue Hall, Riyadh,All,30 SAR per person,10/22/2023,10/22/2023,5:00 AM to 6:00 PM
Dance of the Mountains,A traditional dance show celebrating the rich cultural heritage of the mountainous regions.Assir Cultural Village, Abha,Above 15,50 SAR per person,9/30/2023,9/30/2023,6:00 AM to 7:00 PM
Arabian Night Tales,A children's play retelling classic Arabian tales with a modern twist.Cultural Center, Jazan,Above 12,150 SAR per person,10/4/2023,10/4/2023,5:00 AM to 7:00 PM
Northern Lights Show,A performance highlighting the unique cultural traditions of Saudi Arabia's northern region., Arar,All,20 SAR per person,9/25/2023,9/25/2023,6:00 AM to 8:00 PM
The King's Legacy,A historical drama focusing on the legacy of the Saudi royal family.Cultural Palace, Riyadh,Above 12,Free Pass,10/10/2023,10/10/2023,5:30 AM to 7:30 PM
The Brave Prince,A children's play following the adventures of a brave prince and his journey to self-discovery.Blue Hall, Riyadh,Above 15,20 SAR per person,9/28/2023,9/28/2023,7:00 AM to 9:00 PM
Riyadh Fashion Expo,A major exhibition highlighting emerging Saudi fashion designers,Riyadh,Above 12,10 SAR per person,4/17/2023,4/19/2023,6:30 AM to 8:30 PM
Jeddah Film Symposium,An international symposium organized by the Film Commission,Jeddah,Adults,20 SAR per person,6/3/2024,6/5/2024,5:00 AM to 6:00 PM
Al-Ahsa Culinary Festival,A festival celebrating traditional and contemporary Saudi cuisine,Al-Ahsa,Above 12,40 SAR per person,11/10/2023,11/12/2023,6:00 AM to 7:00 PM
Saudi Music Showcase,An event featuring performances by prominent and emerging Saudi musicians,Dammam,Adults,30 SAR per person,12/2/2023,12/2/2023,5:00 AM to 7:00 PM
Visual Arts Masterclass,A week-long masterclass hosted by the Visual Arts Commission,Jeddah,Above 12,Free Pass,1/15/2023,1/19/2023,6:00 AM to 8:00 PM
Heritage Revival at Diriyah,A celebration of Diriyah’s cultural heritage,Diriyah,All,20 SAR per person,3/6/2024,3/7/2024,5:30 AM to 7:30 PM
National Library Week,A nationwide celebration promoting reading and public libraries,Riyadh,Above 15,40 SAR per person,4/9/2023,4/13/2023,7:00 AM to 9:00 PM
Saudi Architecture Conference,A gathering of architects to discuss sustainable designs for Saudi urban landscapes.,Jeddah,Adults,30 SAR per person,5/2/2023,5/3/2023,6:30 AM to 8:30 PM
Theatre and Performing Arts Festival,A festival showcasing local and international performances,Riyadh,All,30 SAR per person,2/15/2024,2/17/2024,5:00 AM to 6:00 PM
Traditional Literature Symposium,A discussion of traditional Saudi literature and oral storytelling traditions.,Abha,Above 15,Free Pass,6/2/2024,6/4/2024,6:00 AM to 7:00 PM
Saudi Design Week,A week-long event celebrating Saudi architecture and design innovation.,Riyadh,Adults,70 SAR per person,7/1/2024,7/6/2024,5:00 AM to 7:00 PM
Culinary Arts Heritage Festival,An exhibition of traditional Saudi dishes and food innovation trends.,Jeddah,All,70 SAR per person,11/7/2024,11/10/2024,6:00 AM to 8:00 PM
Al-Jouf Music Festival,A regional music event celebrating traditional and modern Saudi music.,Al-Jouf,All,150 SAR per person,10/21/2023,10/22/2023,5:30 AM to 7:30 PM
International Literary Forum,A global forum on literature,Riyadh,All,60 SAR per person,9/6/2023,9/8/2023,7:00 AM to 9:00 PM
Saudi Cultural Exchange Exhibition,An art exhibition promoting cultural exchange through visual arts,Dammam,All,Free Pass,8/14/2023,8/16/2023,6:30 AM to 8:30 PM
Saudi Film Awards,An award ceremony recognizing outstanding Saudi filmmakers and productions.,Riyadh,All,50 SAR per person,11/16/2023,11/16/2023,5:00 AM to 6:00 PM
Traditional Music Festival,A celebration of traditional Saudi music,Tabuk,All,10 SAR per person,10/15/2023,10/17/2023,6:00 AM to 7:00 PM
Al-Ahsa Heritage Craft Week,A week-long event showcasing traditional handicrafts from the Al-Ahsa region.,Al-Ahsa,All,10 SAR per person,12/18/2023,12/24/2023,5:00 AM to 7:00 PM
Riyadh Literary Fair,An annual fair organized by the Literature Commission,Riyadh,All,Free Pass,3/8/2024,3/10/2024,6:00 AM to 8:00 PM
Culinary Arts Competition,A culinary competition highlighting traditional Saudi dishes and innovative recipes.,Makkah,Above 12,120 SAR per person,4/22/2023,4/22/2023,5:30 AM to 7:30 PM
Saudi Theatre Week,A showcase of contemporary Saudi theatre performances,Riyadh,Above 15,Free Pass,5/20/2024,5/24/2024,7:00 AM to 9:00 PM
Saudi Translation Awards,A recognition event for excellence in literary and academic translation.,Jeddah,Above 15,70 SAR per person,6/6/2024,6/6/2024,6:30 AM to 8:30 PM
Saudi Fashion Futures,A fashion exhibition presenting future trends in Saudi fashion design.,Riyadh,Above 15,50 SAR per person,1/9/2024,1/11/2024,5:00 AM to 6:00 PM
Music in the Desert Festival,A musical event blending traditional Saudi instruments with modern genres,Riyadh,Above 12,50 SAR per person,3/21/2024,3/23/2024,6:00 AM to 7:00 PM
Visual Arts Residency,An art residency for young Saudi artists to explore contemporary practices.,Riyadh,Above 15,120 SAR per person,5/6/2024,7/7/2024,5:00 AM to 7:00 PM
National Poetry Festival,A festival celebrating Saudi poetry,Riyadh,Adults,120 SAR per person,10/13/2023,10/15/2023,6:00 AM to 8:00 PM
Film Commission International Summit,A summit for international filmmakers to collaborate with Saudi talent,Dammam,Above 15,30 SAR per person,11/7/2024,11/9/2024,5:30 AM to 7:30 PM
Traditional Artisans Fair,A fair celebrating traditional Saudi crafts and artisans.,Makkah,All,20 SAR per person,9/15/2024,9/18/2024,7:00 AM to 9:00 PM
Riyadh Literary Lecture Series,A series of lectures featuring discussions with leading Saudi authors.,Riyadh,Above 15,50 SAR per person,8/8/2023,8/10/2023,6:30 AM to 8:30 PM
Culinary Arts Innovation Showcase,A showcase of culinary innovation featuring modern takes on traditional Saudi dishes.,Jeddah,Above 15,50 SAR per person,11/15/2024,11/16/2024,5:00 AM to 6:00 PM
Saudi Youth Arts Exhibition,An exhibition showcasing works by emerging Saudi artists.,Dammam,Adults,60 SAR per person,12/10/2024,12/12/2024,6:00 AM to 7:00 PM
Saudi Heritage Restoration Project,A national project focused on restoring and preserving Saudi heritage sites.,Al-Ula,Adults,70 SAR per person,5/20/2024,5/23/2024,5:00 AM to 7:00 PM
Saudi Documentary Festival,A festival featuring documentary films on Saudi culture and history.,Riyadh,All,70 SAR per person,9/1/2024,9/3/2024,6:00 AM to 8:00 PM
National Day Art Contest,An art competition celebrating Saudi National Day,Riyadh,Above 12,10 SAR per person,9/22/2024,9/22/2024,5:30 AM to 7:30 PM
Saudi Cultural Bridges Symposium,A symposium promoting cultural exchange and diplomacy through art.,Riyadh,All,60 SAR per person,3/16/2023,3/18/2023,7:00 AM to 9:00 PM
Riyadh Architecture Biennale,A biennale highlighting innovative architecture and urban design from Saudi Arabia and beyond.,Riyadh,All,30 SAR per person,6/19/2024,6/21/2024,6:30 AM to 8:30 PM
Eastern Province Film Week,A film week showcasing independent Saudi films from the Eastern Province.,Dammam,Adults,150 SAR per person,2/5/2024,2/8/2024,5:00 AM to 6:00 PM
Traditional Poetry Recitation Event,An event celebrating the art of traditional Saudi poetry recitation.,Jazan,Above 12,40 SAR per person,11/3/2023,11/5/2023,6:00 AM to 7:00 PM
Culinary Heritage Exhibition,An exhibition showcasing the culinary history of Saudi Arabia,Riyadh,Adults,20 SAR per person,4/22/2024,4/25/2024,5:00 AM to 7:00 PM
Saudi Public Libraries Day,A nationwide celebration of public libraries and reading culture in Saudi Arabia.,Riyadh,Above 15,Free Pass,6/14/2024,6/14/2024,6:00 AM to 8:00 PM
Saudi Cultural Heritage Week,A week-long celebration of Saudi cultural heritage,Taif,Above 12,30 SAR per person,5/14/2024,5/20/2024,5:30 AM to 7:30 PM
Saudi Science and Innovation Expo,A national exhibition showcasing scientific innovations and breakthroughs in Saudi Arabia.,Riyadh,Above 15,20 SAR per person,2/4/2024,2/6/2024,7:00 AM to 9:00 PM
Al-Qassim Artisanal Crafts Festival,A traditional crafts festival promoting local artisans and their handmade creations.,Qassim,Adults,30 SAR per person,3/7/2024,3/9/2024,6:30 AM to 8:30 PM
Saudi Digital Arts Festival,A festival showcasing digital art forms and multimedia installations by Saudi artists.,Jeddah,Adults,30 SAR per person,11/6/2023,11/10/2023,5:00 AM to 6:00 PM
Traditional Wedding Ceremony Expo,A cultural exhibition focusing on traditional Saudi wedding customs and celebrations.,Makkah,Above 15,10 SAR per person,1/18/2024,1/20/2024,6:00 AM to 7:00 PM
Saudi Photography Symposium,A symposium for photographers,Riyadh,Adults,30 SAR per person,4/5/2024,4/7/2024,5:00 AM to 7:00 PM
Music and Arts in AlUla,A cultural event celebrating Saudi traditional music and art in the historic region of AlUla.,Al-Ula,All,Free Pass,10/18/2023,10/20/2023,6:00 AM to 8:00 PM
National Cultural Awards,An award ceremony recognizing achievements in Saudi cultural arts,Riyadh,Adults,70 SAR per person,3/11/2024,3/11/2024,5:30 AM to 7:30 PM
Eastern Province Crafts Week,A week-long celebration of artisanal crafts from the Eastern Province,Dammam,Above 12,10 SAR per person,2/20/2024,2/26/2024,7:00 AM to 9:00 PM
Saudi Contemporary Art Fair,A fair presenting contemporary Saudi art,Jeddah,Above 12,70 SAR per person,6/6/2024,6/8/2024,6:30 AM to 8:30 PM
Taif Rose Festival,A celebration of the iconic Taif roses and related products,Taif,Adults,20 SAR per person,5/1/2023,5/4/2023,5:00 AM to 6:00 PM
Saudi Storytelling Festival,A cultural event highlighting traditional Saudi storytelling and oral heritage.,Riyadh,All,70 SAR per person,12/20/2023,12/22/2023,6:00 AM to 7:00 PM
Al-Khobar Art Symposium,An artistic symposium where Saudi artists discuss contemporary and traditional art.,Al-Khobar,Adults,30 SAR per person,9/8/2024,9/10/2024,5:00 AM to 7:00 PM
Culinary Arts Gala,A culinary arts gala showcasing top Saudi chefs and modern takes on traditional cuisine.,Riyadh,Adults,50 SAR per person,3/23/2024,3/23/2024,6:00 AM to 8:00 PM
Saudi Cultural Heritage Preservation Week,A week dedicated to preserving Saudi cultural heritage through hands-on workshops and exhibits.,Al-Ula,Adults,30 SAR per person,6/17/2024,6/21/2024,5:30 AM to 7:30 PM
Saudi Children's Literature Festival,A festival promoting Saudi children's literature and the art of storytelling.,Riyadh,Adults,50 SAR per person,8/14/2024,8/16/2024,7:00 AM to 9:00 PM
Traditional Handicrafts Exhibition,An exhibition focusing on traditional Saudi handicrafts and cultural artifacts.,Jeddah,Above 12,60 SAR per person,3/24/2024,3/26/2024,6:30 AM to 8:30 PM
National Cultural Dialogue Series,A discussion series fostering cultural understanding and dialogue on Saudi traditions.,Riyadh,Adults,120 SAR per person,2/8/2024,2/8/2024,5:00 AM to 6:00 PM
Saudi Film Documentary Series,A documentary series focusing on Saudi Arabia’s cultural history and modern developments.,Dammam,Above 12,Free Pass,4/13/2024,4/14/2024,6:00 AM to 7:00 PM
Saudi Fashion Innovators Showcase,A showcase of innovative and sustainable fashion by Saudi designers.,Riyadh,Adults,20 SAR per person,10/25/2024,10/27/2024,5:00 AM to 7:00 PM
National Heritage Forum,A forum dedicated to the preservation of national heritage and culture.,Abha,All,20 SAR per person,9/3/2024,9/4/2024,6:00 AM to 8:00 PM
Saudi Musical Heritage Festival,A festival celebrating traditional Saudi music and instruments from various regions.,Tabuk,All,70 SAR per person,7/15/2024,7/17/2024,5:30 AM to 7:30 PM
Al-Jouf Regional Art Expo,A regional expo featuring contemporary art pieces from Saudi artists across Al-Jouf.,Al-Jouf,Above 12,50 SAR per person,12/7/2023,12/9/2023,7:00 AM to 9:00 PM
Saudi Music in Nature,An event combining traditional Saudi music with nature experiences in Al-Ahsa’s scenic landscapes.,Al-Ahsa,Adults,30 SAR per person,4/19/2024,4/21/2024,6:30 AM to 8:30 PM
Saudi Heritage and Conservation Summit,A summit focusing on heritage preservation and conservation projects in Saudi Arabia.,Riyadh,Above 12,90 SAR per person,11/18/2024,11/20/2024,5:00 AM to 6:00 PM
National Poetry and Music Celebration,A celebration of poetry and music,Jeddah,Above 15,10 SAR per person,3/22/2024,3/24/2024,6:00 AM to 7:00 PM
Al-Ula Ancient Crafts Fair,A crafts fair showcasing ancient techniques in pottery,Al-Ula,Adults,50 SAR per person,4/3/2024,4/5/2024,5:00 AM to 7:00 PM
Saudi Visual Storytelling Expo,An exhibition highlighting visual storytelling through photography,Jeddah,Above 15,90 SAR per person,6/4/2024,6/6/2024,6:00 AM to 8:00 PM
Saudi Nature Photography Week,A photography week dedicated to capturing the natural beauty of Saudi Arabia.,Riyadh,Adults,30 SAR per person,5/12/2024,5/16/2024,5:30 AM to 7:30 PM
Eastern Province Youth Arts Festival,A festival showcasing artistic talent from the youth in the Eastern Province.,Dammam,All,50 SAR per person,12/14/2024,12/16/2024,7:00 AM to 9:00 PM
Saudi Fashion and Heritage Gala,A gala celebrating the fusion of fashion and heritage in Saudi design and style.,Makkah,Above 12,Free Pass,11/8/2024,11/9/2024,6:30 AM to 8:30 PM
Al-Qassim Poetry Slam,A modern poetry slam event showcasing the best of Saudi poets in Al-Qassim.,Qassim,Above 12,40 SAR per person,7/11/2024,7/12/2024,5:00 AM to 6:00 PM
Saudi Digital Heritage Initiative,An initiative to digitize and preserve Saudi heritage through innovative digital technologies.,Dammam,All,120 SAR per person,8/12/2024,8/13/2024,6:00 AM to 7:00 PM
National Storytellers Week,A week celebrating traditional storytelling across Saudi Arabia,Riyadh,Adults,Free Pass,9/10/2024,9/16/2024,5:00 AM to 7:00 PM
Culinary Traditions of the Najd Region,A culinary event highlighting traditional dishes from the Najd region.,Riyadh,Above 15,50 SAR per person,4/10/2024,4/12/2024,6:00 AM to 8:00 PM
Saudi Traditional Arts Competition,A competition celebrating traditional Saudi arts such as calligraphy,Makkah,Adults,20 SAR per person,10/6/2024,10/9/2024,5:30 AM to 7:30 PM
Saudi Architectural Heritage Conference,A conference focusing on preserving and promoting Saudi architectural heritage.,Riyadh,Adults,30 SAR per person,11/22/2024,11/24/2024,7:00 AM to 9:00 PM
Saudi Fashion and Culture Exhibition,An exhibition merging fashion and cultural heritage in contemporary designs.,Riyadh,Above 15,60 SAR per person,3/14/2024,3/16/2024,6:30 AM to 8:30 PM
Saudi Filmmakers Meet,A meet-up event for Saudi filmmakers to discuss projects and network.,Jeddah,Adults,30 SAR per person,10/28/2024,10/30/2024,5:00 AM to 6:00 PM
Saudi National Costume Celebration,A celebration of traditional Saudi costumes,Riyadh,All,10 SAR per person,12/21/2024,12/22/2024,6:00 AM to 7:00 PM
Saudi Youth Music Showcase,A music showcase for young Saudi talent,Riyadh,All,30 SAR per person,5/17/2024,5/19/2024,5:00 AM to 7:00 PM
Sadu Event,A cultural event celebrating the art of Sadu weaving.,Al Jouf,Above 12,70 SAR per person,7/29/2023,8/4/2023,6:00 AM to 8:00 PM
Saudi Film Festival,A festival celebrating Saudi and international cinema.King Abdulaziz Center,Dammam,Above 12,30 SAR per person,11/10/2023,11/15/2023,5:30 AM to 7:30 PM
Saudi Art Exhibition,An exhibition showcasing modern and contemporary Saudi art. King Fahad Cultural Center,Riyadh,All,90 SAR per person,1/15/2024,1/20/2024,7:00 AM to 9:00 PM
Traditional Music Festival,Live performances of traditional Saudi music from various regions.,Al Khobar,Above 12,10 SAR per person,10/15/2023,10/20/2023,6:30 AM to 8:30 PM
Culinary Arts Festival,A festival celebrating traditional Saudi cuisine and live cooking shows.Historic District,Jeddah,Above 15,50 SAR per person,3/5/2024,3/10/2024,5:00 AM to 6:00 PM
Fashion Week Saudi Arabia,A showcase of the latest fashion designs from Saudi designers and international guests. King Abdulaziz Center,Riyadh,Above 15,30 SAR per person,12/1/2023,12/5/2023,6:00 AM to 7:00 PM
